200 7
7 16 1
18 19 0
0 25 1
7 30 2
25 14 3
4 19 4
16 22 3
1 23 2
9 0 4
14 22 4
22 28 1
24 13 4
27 3 0
6 29 2
19 9 2
11 10 2
18 28 3
28 26 4
20 5 4
29 28 2
22 6 4
17 8 0
26 30 0
24 12 0
9 23 4
1 19 0
22 10 4
30 15 4
9 2 2
0 6 2
18 4 0
26 9 4
27 11 2
16 19 2
17 19 4
15 13 3
7 9 4
16 17 0
12 17 0
19 19 0
19 14 3
10 21 3
0 1 3
29 7 2
18 9 1
9 11 2
9 11 3
0 17 3
9 6 4
7 5 2
21 3 1
10 25 2
26 5 1
20 27 2
6 3 2
5 25 4
5 8 4
19 24 1
4 9 3
8 10 2
13 12 4
4 0 4
27 30 2
29 28 1
23 25 3
16 8 1
7 2 2
8 25 0
28 21 4
27 27 2
0 23 0
9 20 2
12 29 3
10 7 4
14 24 1
6 16 4
5 24 4
24 25 0
19 26 0
8 8 2
13 14 3
0 1 0
3 2 4
26 2 2
9 9 1
20 18 1
5 10 0
17 22 1
2 5 1
18 24 1
24 19 2
11 15 3
13 21 2
7 16 3
2 13 2
27 29 1
27 24 1
14 3 4
20 27 3
20 22 2
3 18 0
4 24 0
2 3 4
5 0 4
3 26 3
25 29 2
24 1 3
15 22 0
23 28 0
10 17 4
7 5 1
19 23 1
11 12 1
12 2 2
30 12 3
4 21 3
20 16 2
19 27 0
2 23 4
16 13 3
5 8 0
18 9 1
21 29 1
21 12 4
18 8 1
0 14 1
5 11 1
24 4 4
14 18 2
25 25 2
14 22 4
12 22 4
14 7 1
22 20 4
26 7 0
8 5 3
26 27 1
26 9 2
22 2 0
25 9 1
17 20 0
10 13 2
6 18 4
12 16 0
8 20 0
27 28 0
29 11 3
23 9 3
20 24 1
23 29 3
16 3 2
10 22 3
17 5 3
19 5 4
20 3 4
4 10 3
18 17 3
14 9 0
2 22 3
16 22 1
8 11 4
1 15 1
23 10 1
12 16 3
10 26 0
8 3 0
24 22 0
5 12 3
25 23 2
4 12 0
16 17 1
7 24 0
24 27 4
11 17 2
19 30 3
9 26 2
18 22 0
23 20 2
16 14 0
16 1 2
20 13 2
29 27 0
24 19 0
11 7 0
16 28 1
26 21 0
26 18 4
22 22 1
25 28 4
13 23 2
3 1 0
6 4 2
21 16 2
20 9 2
23 12 0
27 22 1
11 16 2
6 0 1
24 4 2
6 6 0
12 5 12 7
5 14 6 14
13 12 25 12
12 11 12 30
6 2 17 6
18 10 19 11
21 8 28 18
