300 300
4534 19246 126331
14097 1703 247441
19983 4188 641869
9183 9063 494983
3844 16611 89565
4683 399 266767
8153 18042 379075
2274 5167 991603
1261 12403 377205
13217 6769 691301
9952 12995 901375
11631 2842 64373
18921 9773 193854
18921 11579 728942
17620 5713 356697
17562 2699 764296
1952 13804 702146
19000 16870 503621
3953 3003 528720
10196 1428 903221
10148 14026 219955
4877 238 343231
5337 8468 376926
16687 17830 175251
7925 3323 663172
19497 4036 766475
6001 264 764298
6836 3403 435607
4634 8202 446053
8359 11770 288744
1902 1705 106523
10419 7203 807700
10098 14164 980072
1259 338 140390
7727 11473 743752
7029 19300 2940
16714 4201 875180
662 19304 759378
19810 11600 177798
19398 8830 83354
12108 9944 473188
3090 2440 580737
9054 2529 439484
14511 14310 471298
7875 7216 225519
3950 8924 108183
14503 14167 611518
452 7282 432420
1866 19356 755631
10052 14104 200676
4588 10515 743951
12946 133 613169
18177 14866 927580
19635 4473 296419
10947 19537 369254
18829 17010 516274
12502 19141 783274
5916 16915 195741
7399 19172 847056
6240 5810 613034
16853 13687 936049
14561 16419 604937
7244 8550 489942
10579 16764 268845
1372 14663 270883
8395 2340 829334
5479 5833 804225
10085 5546 888398
8236 7227 965446
15804 14948 249899
16266 11932 829725
7359 15616 793438
7759 13094 780240
19862 18409 786250
2736 12206 685039
1740 9254 868712
18109 18507 92697
12142 17301 652709
6398 774 919793
17182 13073 366250
16569 16296 724715
11995 6386 296595
7150 6536 520054
2279 14428 348046
3194 5098 389292
8624 15644 99776
4452 5863 176684
14988 2180 50877
11117 14724 825078
11190 6535 881901
14723 9578 562839
18721 19948 931246
2653 6537 407822
3379 15241 60846
17749 11711 613763
8297 18731 578345
17931 18454 692119
19668 9793 366547
16880 10560 308817
13603 9517 127889
16757 9999 971568
10673 18737 289140
4350 10530 766725
16498 12949 124265
7881 699 371486
18895 6941 698942
12429 2864 688399
1594 3693 579917
2548 19290 425527
12606 19303 108040
19982 792 601245
13119 19717 358136
18936 13004 476660
3395 4715 365184
6925 7435 808094
7498 12574 38581
2814 14199 890581
6262 649 232616
7210 7328 561497
6034 12941 785919
15665 14829 584056
5216 16829 289581
17202 8943 629204
9985 13077 341025
11568 14731 361370
12009 9129 470030
7672 10933 709340
3474 2922 823234
1769 15862 759088
4353 12721 253419
17634 3946 115671
731 14371 211831
6286 19540 736079
14752 11518 640596
220 16251 329069
17093 8290 911283
9 19608 95842
10220 9631 986313
14337 19639 905757
8502 2955 145915
14189 19026 665001
6924 11945 656847
5060 13880 199137
555 1285 488255
13921 4511 396877
13862 5262 522315
12058 8121 208445
13854 14021 188976
16147 13105 866472
15604 9887 715741
6290 13071 82345
6918 10121 885605
13677 18181 869290
19415 12352 616780
9378 4424 796583
12207 3234 239942
4417 14454 597386
4019 13752 563325
5332 8891 992674
2819 4732 593811
16799 18435 399167
15377 2370 386157
17139 13301 446638
11972 9749 547944
17682 19513 200333
15102 18895 607283
10009 7450 484037
11613 12228 113993
19977 5519 547501
3965 12627 74624
6707 7694 312976
9745 3164 490663
15912 12573 970152
19003 9550 467900
15250 17596 540997
13346 13815 513944
10165 8020 448769
9482 16056 159800
2353 18468 510304
13938 18316 736249
11330 19042 624112
8933 3654 159284
15848 17931 357048
10580 13571 606760
5507 18227 551917
14286 13768 438319
14025 3798 547890
13030 12587 292251
3629 2026 123797
3685 9708 568520
14121 8760 767738
592 6966 119315
10329 11450 583236
8871 7363 328530
2124 3866 486513
11353 2009 845142
554 2522 448027
6659 10402 689950
11894 15701 470104
13526 8359 126243
1484 3638 443880
5522 11213 667241
18385 2994 957644
24 17787 984803
7302 15971 505198
11240 17147 941605
6005 4392 916273
11839 18036 221107
16984 3189 146747
5767 18552 387290
8805 5780 74726
8834 9937 334618
14615 6196 979564
18187 11577 101613
11195 12421 650054
8507 14501 996695
14047 821 628121
