1000 10000
9260 7466 138
17332 128 503
17966 1616 554
12333 817 379
14070 9040 725
3143 4760 111
10125 18477 591
15484 7673 746
2033 5823 674
14514 8435 87
5334 4198 281
16191 3989 887
17588 1095 379
9834 469 425
18129 2241 597
2424 11574 896
4061 165 83
10795 349 84
9935 18419 420
7963 12774 93
11596 3451 609
19167 1083 555
12128 2986 268
19898 19960 121
14110 19019 237
12223 860 366
13483 11805 775
1734 6944 864
11683 9026 402
19722 11489 18
15988 6574 434
4268 8880 325
1776 12590 103
15682 507 781
16151 9947 710
4965 14753 425
4619 19282 401
7459 17198 369
13350 3421 844
5178 1010 976
3455 18931 987
12131 237 60
4172 7777 612
19329 7090 140
11239 2746 86
11119 13920 65
9028 14077 764
7660 17744 169
14310 15434 881
9889 1984 48
10577 3466 630
1685 15603 222
260 3517 457
11185 7766 173
9641 18929 535
18826 575 994
17780 10887 524
10743 18191 65
12856 10843 300
14499 14414 103
13991 9071 490
12735 1059 603
7463 17575 231
16463 14592 625
17517 720 597
12266 13561 407
1379 3781 608
3626 1297 355
9405 10711 25
15512 6676 783
171 19081 590
19528 19727 833
2124 6975 231
15600 3843 221
2212 2401 939
19524 7448 741
9350 10440 369
12694 4723 256
10357 3947 439
18878 444 103
16000 1156 251
17033 12105 220
1172 5503 300
16006 19512 787
18035 18614 877
18400 19351 94
6353 4943 604
9834 6939 837
7982 4178 276
9235 12209 569
8799 3726 402
6500 3411 544
3771 14232 659
2754 12508 338
8941 12131 762
17672 14671 211
10839 6707 19
11049 9412 867
6474 16672 514
1981 14339 284
10670 1428 10
18420 840 149
3266 1921 824
19905 12984 395
17769 10124 134
13804 7180 270
6409 7701 182
12250 17369 571
189 13684 20
9576 17315 677
18165 15093 273
2874 9029 680
4641 6621 748
6953 12018 545
18578 524 186
15571 13382 96
2691 4216 543
18047 4331 203
13716 8462 847
19980 18724 716
9924 1218 808
7971 9272 632
19282 11120 918
19283 1697 354
17771 15348 970
3726 10623 933
10796 13408 975
3466 1129 854
11621 4007 833
5670 2595 297
721 8116 780
9081 19293 41
3461 2876 575
3993 13345 523
11617 16900 790
18447 3041 379
19208 7936 285
9636 3617 849
12721 1891 965
10408 5074 613
18992 6937 13
3953 1173 529
6230 17032 206
301 9293 123
6208 4510 178
12724 18725 370
12771 6462 915
11058 585 742
4198 937 19
16806 14197 358
11152 14109 75
14117 14176 943
1182 11449 508
16923 7282 663
17941 6975 515
17872 682 975
6260 9146 287
15954 10653 748
2077 17608 821
13607 4455 259
9041 1301 954
8156 19068 183
12961 15976 645
8462 382 435
7802 18900 974
19138 19604 169
593 5841 7
2376 11544 201
12215 7613 274
19387 3725 883
10537 13259 144
14899 17792 198
9456 13066 475
15040 12886 314
13622 15462 463
11807 12693 477
1776 8154 778
14479 1484 478
11755 10659 149
12934 13947 536
18793 11553 12
5697 14041 79
19301 13981 765
3398 135 873
10220 8841 518
15364 7450 773
3238 19606 696
6371 9542 882
6512 13981 910
19213 5114 795
12173 16172 69
8260 9031 815
9041 840 209
16631 17658 574
1595 15463 867
5743 9637 290
1069 14678 159
1741 18188 96
15195 16301 251
7443 4459 708
19472 14880 493
10748 8160 715
5387 4908 697
5098 19767 727
3678 426 598
2680 9999 600
16170 7761 546
16291 2693 336
16174 7162 931
1679 1699 363
9281 7352 220
8957 17882 938
12523 5132 583
3150 1256 795
5340 3214 820
2448 4730 151
17848 13632 181
1438 18138 128
14293 13802 588
9579 8314 281
12931 3013 477
5204 7355 891
11347 12907 647
28 15661 875
14924 10447 846
18883 5535 164
6751 363 235
1651 173 400
123 9614 851
14261 1043 728
3802 16117 644
10884 8720 981
4199 17972 205
1880 4315 37
16615 3697 573
5487 7169 786
10987 5343 745
2872 816 695
17047 15304 697
18616 18525 567
3545 11586 427
14168 6977 72
3869 2848 733
13767 10658 318
14578 8950 494
3932 19940 442
9424 4156 448
9416 8502 744
6699 12458 670
2704 16459 70
5152 16624 119
5517 8256 946
19377 4355 641
16592 10280 314
3047 1396 44
958 14482 591
1345 18731 986
8293 7244 876
13307 14903 182
14574 8848 55
960 5286 234
5369 18232 397
4158 2096 55
8114 8409 79
10331 6889 19
9478 3150 180
15042 8572 357
11092 14677 627
18989 14312 341
19067 313 188
2432 7632 354
7783 12656 348
9657 13544 927
19145 7370 385
19826 16796 878
2290 5790 424
6181 9272 944
7754 10118 323
11776 10907 181
1189 15047 831
6767 3990 101
12461 11573 936
13558 11467 594
18184 18409 167
2444 2564 12
17029 19263 501
15205 13246 656
7854 19145 307
2002 1056 788
15604 17056 800
4525 7266 280
17293 38 305
13066 12742 2
2252 3374 219
10233 614 828
9313 13044 362
16963 2079 867
4934 10284 563
13445 10849 720
1019 10693 501
12392 2137 708
1632 931 51
19577 3240 684
1119 12108 217
11984 14770 677
10813 14351 2
1088 4741 452
15273 526 205
10492 6494 82
5666 521 14
16798 6314 716
4920 14791 883
352 12053 909
15386 2427 731
15097 3202 658
12470 3990 820
17140 1491 472
11769 161 517
18757 6652 495
18748 17476 953
1815 19997 331
7196 3696 807
11776 9168 495
10261 11653 151
14388 5247 20
19149 1960 802
15342 8568 609
4830 4318 884
14989 15363 458
702 15469 960
6354 12510 147
19233 14198 63
14014 13519 436
11700 18637 682
9464 19365 638
15521 11115 757
15475 9987 465
3963 13053 727
8216 1326 706
12953 12950 152
17717 14566 801
2955 5428 533
111 19466 174
3025 15902 236
11496 13027 203
997 14065 876
16165 2066 334
9052 657 884
16564 19384 916
16749 5952 652
17464 161 73
19739 1824 908
7595 4885 376
17646 12954 124
16429 6930 826
10038 17231 549
7064 19822 982
10942 10450 603
13508 5427 931
8416 19937 574
18341 18429 275
690 11607 574
6738 7073 274
1858 9177 522
8750 16903 436
15073 15091 506
9300 4685 686
17342 19420 802
19373 11673 452
19640 13434 70
17081 11903 856
8122 12638 597
12288 17634 395
13469 18798 88
17126 13816 440
767 9886 165
3895 10098 627
18640 12611 768
10920 508 329
2364 12108 304
12216 6738 45
4545 18659 450
13263 10797 462
13659 18113 632
15772 6985 276
209 10681 62
5369 9246 373
4159 8404 919
11242 13245 999
12808 19029 696
16182 12161 1000
10989 6734 655
1867 8496 942
2905 8174 303
12356 17085 321
11374 618 239
8390 12795 879
17749 10179 260
16445 16925 793
13350 12616 393
11426 7355 705
17568 6053 736
2035 1767 189
5801 8679 389
18115 1081 866
4804 6027 468
8901 11410 32
11892 841 162
5633 10243 729
669 605 412
4588 14323 814
18096 19735 962
4792 11336 130
10888 14004 633
19639 7513 424
18027 15973 185
7902 15492 59
16314 17894 648
2374 11042 154
17775 5000 50
9019 4748 863
3571 2390 374
8806 10802 962
7963 17500 131
9631 17805 836
12836 1758 999
7197 13290 99
1970 8286 791
15108 7729 255
11513 8882 249
2538 1105 88
15543 19105 803
13408 8935 276
9570 8038 831
19229 8056 276
14595 18443 970
19596 15887 830
9437 13876 214
19916 4704 766
15732 17564 369
9738 333 877
11572 2828 340
7734 9502 305
5313 10453 755
9404 8908 383
18762 15215 691
1168 15240 433
13883 9387 81
10931 14542 170
12279 5390 11
955 7805 247
3545 6583 785
10269 11466 904
4766 17871 678
14416 18397 159
8033 10765 531
19722 4725 270
15542 15868 321
1063 9953 562
17155 11472 544
15616 13266 627
352 14142 439
10843 10821 782
3263 17495 141
16411 16907 35
11016 16435 316
3070 18831 220
19879 6826 945
11120 1542 232
12203 221 229
7365 2104 944
10379 7269 364
2203 12055 668
14933 17255 865
7457 4607 91
13881 12868 110
14400 17732 29
12552 15578 740
5465 7522 84
4416 11593 895
6824 13283 937
14274 4297 332
18670 309 493
7297 3537 561
6273 5497 826
14040 17742 4
16115 9454 503
18395 10463 900
15855 1409 869
6184 10767 509
12571 1312 523
13331 5693 789
10281 9079 187
3275 7101 479
18654 13805 162
4750 18372 31
18637 16094 862
3751 16915 487
8759 5387 339
13750 5564 968
15626 17689 673
14621 5036 135
1920 12638 905
7286 10829 265
13079 17987 717
9623 18172 443
18992 16342 724
13367 7963 385
6755 13589 873
4248 9795 292
5982 4069 863
9076 15986 169
