250 150
15867 16439 485035
5232 9 662819
9405 15195 373160
15403 5454 801916
14597 8280 538305
13641 3859 553615
16103 5310 803366
13714 16886 335582
1862 16006 804782
8904 1875 197162
12699 5823 951373
11771 4017 655404
7207 18655 909512
10293 12892 697911
16110 19528 28422
7227 12035 304324
11783 1793 880079
10505 2336 662741
6245 3924 483744
2762 4197 865540
13965 250 778058
341 6658 904438
12405 6122 377405
7783 2536 999879
1076 8458 746313
7955 19620 245311
19586 17846 670217
17791 8944 831260
15922 10334 470930
14114 8181 85930
14931 5316 487664
15681 3442 21873
2470 11788 361049
5126 9031 927598
5095 8211 879294
12244 5359 474709
9571 2843 377478
6113 16095 323390
13185 19416 923079
7521 12061 320113
7966 9760 793439
18733 5816 6192
8987 1142 30112
15472 2242 718507
7240 18769 853492
1245 3852 947392
12269 8442 782292
16271 9834 468899
2003 7239 144958
12512 12132 144276
12560 1946 105431
12912 9254 899586
12584 14028 127006
16654 1670 618122
18228 18155 893295
9040 13876 791333
2741 18868 908775
8818 15570 447079
5528 14250 63670
16004 19562 286070
18794 1673 858079
5596 19325 430697
18444 638 85643
16328 12772 535501
654 3466 370489
1041 19861 765198
18996 14014 343478
1551 14631 114035
10943 9281 494531
1503 1479 520267
609 10508 150300
5634 3020 568437
7766 4461 221596
11281 18212 419131
3263 6330 240333
11447 15729 568915
3763 6505 381081
8819 7950 997521
11021 13242 716373
12903 16105 372224
13331 19452 164128
12509 7694 61067
797 15180 114592
14221 2003 367615
643 10855 786408
4511 11306 922279
5870 9421 724149
17285 3372 661359
2401 2244 983249
1000 18396 750114
13519 14589 650965
5740 8867 202141
17186 15576 787543
4279 11844 254943
15811 14896 995114
14164 13678 777016
1873 11907 32741
7343 2342 948472
560 18427 947884
8712 16650 51750
2788 196 68087
51 16567 87521
11815 5464 132380
8384 3637 977184
7678 11876 563544
12538 9609 270152
2735 17761 192531
8968 16168 576059
18962 16191 513568
2398 11854 473695
17235 10616 694260
16233 9409 841896
17987 3087 919150
17395 17100 337764
5036 2656 370988
17101 7258 5356
6098 1650 622502
15365 18533 89218
7608 2517 910417
16740 10396 954042
10406 15529 488055
7285 19889 841702
11834 17345 649443
15956 1334 131500
2188 12062 719658
3102 10103 113596
13752 15581 86669
19601 13298 124878
7021 3165 727964
18335 3502 184032
12578 17190 738956
9155 2210 614123
9111 16076 571904
14680 19422 625988
18234 5479 1533
17648 597 993636
9115 1225 274658
14426 7681 623836
2038 16713 373153
16656 2946 667299
9380 8088 19333
10634 16761 103875
8915 249 994116
19391 13568 480108
1407 2421 705004
15890 19782 861726
8758 5106 541840
6918 10896 884067
9059 19625 718357
914 14938 661541
12441 65 878894
9906 10736 170269
708 278 209852
6083 3080 58212
14548 14050 882050
4353 14568 594478
1802 17500 357288
3698 3665 924346
4415 7686 546989
7183 13120 87661
8599 11691 618966
12179 5385 638160
19445 9649 643994
16740 5047 265634
19405 6014 426090
7419 19864 545075
17923 3249 277627
12995 6365 663260
10154 1562 111796
8772 10672 176570
5263 23 265929
6184 7767 593209
17054 14347 740763
5658 9911 726823
17876 4808 15053
1017 10307 872238
3067 15676 641098
17277 18021 107325
15874 2706 118713
7973 9776 69747
5513 3509 134924
1976 475 217549
6545 8397 694445
12240 9756 322889
12293 3857 177339
2259 13385 139279
4457 7031 563961
12951 11847 596108
3852 18253 737099
8137 7931 577018
2389 12884 902908
7279 9980 253102
18192 7534 360635
14254 7449 904981
8225 11781 304913
11788 9444 104050
17779 3208 575769
13543 9373 327643
9073 19991 11896
17701 12145 481070
12757 12795 830298
19531 10303 351295
7249 18213 480036
1412 11733 114923
6935 13016 612523
10730 16591 608429
19405 16230 264205
15631 7219 945206
12384 8362 175010
16958 7053 15693
16064 130 44699
607 12892 562098
9670 18700 470462
4114 19930 110224
992 4455 976537
8353 7137 369628
7408 15114 637956
5587 3808 816126
11231 10034 200799
19531 10570 918256
13478 12777 24388
18283 17092 76424
1632 13504 667705
3861 19820 98845
11378 9639 330194
13378 8818 767186
15415 186 326216
10848 5927 600182
582 2102 511936
4300 4154 413010
11886 13083 598562
9964 8668 869299
17270 17969 943123
13435 3988 701731
5656 6013 400661
654 8767 196328
4656 8624 755586
13044 6298 723026
8123 7163 408617
5720 3071 968078
11920 13120 609845
10027 12588 7495
1307 10692 464647
243 4222 305108
19354 16734 40016
7774 7002 137238
5801 19791 917240
5403 15614 129950
12642 1726 641711
11963 19879 578414
18235 4847 19337 8009
1381 19654 1885 19776
6327 4029 18038 16072
7653 11269 17899 11784
13108 17051 17282 18596
4966 3369 7621 9314
5712 15595 7999 16150
15960 9052 16422 17982
794 7460 8581 13957
4771 18544 13617 19020
12766 7618 16820 15008
4936 17419 6342 19828
8477 10169 9710 15199
6642 12247 15810 13026
1454 17917 5264 19329
14608 15635 14637 18421
16841 697 16863 17769
13881 14121 18585 17713
4017 3191 4256 14274
13284 19831 14931 19855
7569 18814 10514 19859
12748 15362 13585 19093
8003 14833 8580 16361
11320 5450 15994 6997
5138 12682 10023 19837
7315 6100 12405 14966
6307 19578 9046 19825
17434 5386 18032 12857
16984 16981 19568 19133
1559 18388 4458 18411
10114 351 10542 4141
19657 5500 19950 19162
4447 2093 7810 13536
13809 6479 18638 7442
486 7260 13348 18040
18941 18153 19969 19283
8685 1043 15123 18405
15749 9384 18476 17565
19884 14364 19953 19770
19378 7 19978 5857
24 5947 2594 5990
16072 7456 16517 16522
4018 6928 10522 11143
14682 3839 19001 11246
